review,rating,date,bank,source,sentiment_score,sentiment_label,keywords,themes
"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,CBE,Google Play,0.6896,positive,"['app', 'nice', 'design', 'useful', 'feature', 'balance', 'check', 'transfer', 'unstable', 'user', 'developer', 'option', 'unnecessary', 'banking', 'app', 'people', 'developer', 'mode', 'normal', 'reason', 'performance', 'issue', 'restriction', 'biometric', 'login', 'well', 'security', 'convenience']","['Account Access Issues', 'Transaction Performance', 'User Interface & Experience', 'Features']"
cbe,4,2025-10-18,CBE,Google Play,0.0,neutral,['cbe'],['Other']
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,CBE,Google Play,0.0,neutral,"['work', 'device']",['Other']
blah blah blah,5,2025-10-18,CBE,Google Play,-0.296,negative,[],['Other']
good,5,2025-10-17,CBE,Google Play,0.4404,positive,['good'],['Other']
bad ግዴታ መሆንሁ,1,2025-10-17,CBE,Google Play,-0.5423,negative,['bad'],['Other']
best,5,2025-10-17,CBE,Google Play,0.6369,positive,[],['Other']
CBE no.1,5,2025-10-17,CBE,Google Play,0.0,neutral,['cbe'],['Other']
good,5,2025-10-17,CBE,Google Play,0.4404,positive,['good'],['Other']
good,5,2025-10-16,CBE,Google Play,0.4404,positive,['good'],['Other']
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,CBE,Google Play,0.0,neutral,['work'],['Other']
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,CBE,Google Play,0.9152,positive,"['easy', 'secured', 'previous', 'commercial', 'bank', 'ethiopia', 'time', 'update']","['User Interface & Experience', 'Features']"
gooof,5,2025-10-16,CBE,Google Play,0.0,neutral,['gooof'],['Other']
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,CBE,Google Play,-0.5672,negative,"['cbe', 'application', 'callcenter', 'branch', 'cbe', 'silassie', 'branchafter', 'form', 'customer', 'case', 'turn', 'ppl', 'mobile', 'banking', 'atm', 'card', 'case', 'work', 'servicewhy']",['Customer Support']
Best app,5,2025-10-16,CBE,Google Play,0.6369,positive,"['good', 'app']",['User Interface & Experience']
best,5,2025-10-15,CBE,Google Play,0.6369,positive,[],['Other']
still not perfect like before,1,2025-10-15,CBE,Google Play,-0.6259,negative,['perfect'],['Other']
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,CBE,Google Play,-0.6597,negative,"['app', 'dash', 'board', 'traxation', 'balance', 'option', 'dashboard', 'risk', 'app']","['User Interface & Experience', 'Features']"
APPLIED,1,2025-10-14,CBE,Google Play,0.0,neutral,[],['Other']
10 years ago,4,2025-10-14,CBE,Google Play,0.0,neutral,['year'],['Other']
Asefa Obsa,5,2025-10-14,CBE,Google Play,0.0,neutral,"['asefa', 'obsa']",['Other']
best app,4,2025-10-14,CBE,Google Play,0.6369,positive,"['good', 'app']",['User Interface & Experience']
it's good app,5,2025-10-14,CBE,Google Play,0.4404,positive,"['good', 'app']",['User Interface & Experience']
very slow,1,2025-10-14,CBE,Google Play,0.0,neutral,['slow'],['Transaction Performance']
berhan deriba wami,4,2025-10-14,CBE,Google Play,0.0,neutral,"['berhan', 'deriba', 'wami']",['Other']
good,5,2025-10-13,CBE,Google Play,0.4404,positive,['good'],['Other']
mahamad Usman,5,2025-10-13,CBE,Google Play,0.0,neutral,"['mahamad', 'usman']",['Other']
Erako,5,2025-10-13,CBE,Google Play,0.0,neutral,['erako'],['Other']
🔥🔥🔥🔥🔥,5,2025-10-13,CBE,Google Play,0.0,neutral,[],['Other']
opne,5,2025-10-13,CBE,Google Play,0.0,neutral,['opne'],['Other']
mehommd nuri,5,2025-10-13,CBE,Google Play,0.0,neutral,"['mehommd', 'nuri']",['Other']
Best,5,2025-10-12,CBE,Google Play,0.6369,positive,[],['Other']
good,5,2025-10-12,CBE,Google Play,0.4404,positive,['good'],['Other']
providing very secure service.,5,2025-10-12,CBE,Google Play,0.4005,positive,"['secure', 'service']",['Customer Support']
good,5,2025-10-12,CBE,Google Play,0.4404,positive,['good'],['Other']
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,CBE,Google Play,0.0,neutral,"['apk', 'apkwun']",['Other']
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,CBE,Google Play,0.0,neutral,[],['Other']
RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,CBE,Google Play,0.0,neutral,"['riyad', 'mohammed', 'abaoli']",['Other']
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12,CBE,Google Play,-0.296,negative,"['bank', 'statement', 'option', 'transaction', 'past', 'month']","['Transaction Performance', 'Features']"
Mamma Husen,2,2025-10-11,CBE,Google Play,0.0,neutral,"['mamma', 'husen']",['Other']
ok,5,2025-10-11,CBE,Google Play,0.296,positive,[],['Other']
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,CBE,Google Play,0.2263,positive,"['star', 'transaction', 'history', 'recent', 'refresh', 'button', 'recent', 'activity', 'app', 'client', 'transaction', 'recent']","['Transaction Performance', 'User Interface & Experience']"
good,5,2025-10-10,CBE,Google Play,0.4404,positive,['good'],['Other']
exceptional application from others bank,5,2025-10-10,CBE,Google Play,0.0,neutral,"['exceptional', 'application', 'bank']",['Other']
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,CBE,Google Play,0.8124,positive,"['nice', 'suggestion', 'cbe', 'birr', 'customer', 'recipient', 'befor', 'money']",['Customer Support']
good👍👍👍😊😊😊,5,2025-10-10,CBE,Google Play,0.0,neutral,['good'],['Other']
really good app,5,2025-10-10,CBE,Google Play,0.4927,positive,"['good', 'app']",['User Interface & Experience']
smart bank CBE,5,2025-10-10,CBE,Google Play,0.4019,positive,"['smart', 'bank', 'cbe']",['Other']
